Employee ID,Name,Department,Performance Rating,Attendance (%),Training Hours,Projects Completed,Client Satisfaction,Sales Revenue ($)
E001,John Doe,Marketing,4.5,95,20,8,90,120000
E002,Jane Smith,HR,3.8,89,15,6,85,80000
E003,Robert Johnson,IT,4.2,92,25,10,92,150000
E004,Mary Williams,Finance,3.6,87,18,5,80,70000
E005,Michael Brown,Marketing,4.1,90,22,9,88,110000
E006,Emily Davis,HR,3.9,85,17,7,87,95000
E007,Christopher Lee,IT,4.4,93,21,12,94,180000
E008,Olivia White,Finance,3.7,88,16,6,82,75000
E009,Daniel Harris,Marketing,4.0,91,23,10,89,130000
E010,Sophia Turner,HR,3.5,86,19,5,83,85000
E011,Ethan Miller,IT,4.3,94,24,11,91,160000
E012,Ava Clark,Finance,3.8,89,15,7,84,90000
E013,Noah Anderson,Marketing,4.2,92,25,9,90,125000
E014,Emma Hall,HR,3.6,87,18,6,86,78000
E015,Liam Martinez,IT,4.1,90,22,10,88,140000
E016,Abigail Taylor,Finance,3.9,85,17,8,87,100000
E017,Samuel Brown,Marketing,4.4,93,21,12,92,170000
E018,Grace Baker,HR,3.7,88,16,6,84,88000
E019,Benjamin Evans,IT,4.0,91,23,11,89,150000
E020,Lily Moore,Finance,3.5,86,19,5,82,80000
